Document,Document Name,the,plus,del,of,afrique,ouest,and,in,entre,cette,comme,eau,lac,al,àl,femmes,bassin,climatiques,climatique,données,10,années,être,pluies,tchad,bassins,période,figure,ainsi,to,pays,peut,deux,précipitations,ivoire,sénégal,leurs,zone,00,développement,paris,fig,elles,niger,20,fait,très,aussi,débits,où,sud,autres,si,migration,changements,non,évolution,bien,sahel,pluie,étude,saison,sous,1997,variabilité,climat
76,010028956.pdf,0.005665613941094014,0.0633496176767198,0.1681007647517605,0.003935447324752432,0.01597371842078693,0.02224207138033177,0.01038631195175642,0.009251534612611793,0.05357767937114912,0.03646483972023964,0.052572168717147816,0.0014704644113534325,0.0,0.000555447918425405,0.07723777060821896,0.012823985882853463,0.0003822252648289596,0.00033071663872129254,0.0003374178383654173,0.008333938862638151,0.01035545809518566,0.02593910584766848,0.0185308197492796,0.0043500670204629005,0.0014898130869990635,0.0,0.01091436475928909,0.01367107297472789,0.010559026135207658,0.000362505585038575,0.00634719063718448,0.004528869211831431,0.017145938372241393,0.0019111263241447978,0.17178418497614475,0.001012253515096252,0.03989639509096245,0.003703972827839179,0.0004429350565230883,0.011615717228078307,0.017117899072957507,0.021192988091787837,0.022773364655441605,0.0016050536410719249,0.004811923537570895,0.0022429919925074397,0.004485983985014879,0.011888281681057506,0.0,0.004000718953522993,0.0017645572936241189,0.01986788539765929,0.0028576563953735656,0.0014136763793387694,0.005665613941094014,0.0025233659915708693,0.009988109433097744,0.021512128756199296,0.0,0.0,0.008943768625123584,0.005733378972434393,0.019626179934440095,0.0203003127621602,0.0,0.0018315955023388
77,010057651.pdf,0.0,0.0,0.020801855408337802,0.0010514145250334794,0.005121145785113541,0.0026335225026736853,0.0,0.0016911549375154028,0.0,0.002584648264260086,0.0008778408342245618,0.01225713531588401,0.0,0.0009645762596752152,0.004848039139780475,0.0,0.0,0.002297255298350603,0.0011719019036054578,0.002144073961271886,0.056788472900594,0.0,0.0,0.0,0.0,0.0,0.0022298351817712837,0.0,0.0008944647476917983,0.0,0.015030497012581497,0.0009830894085647002,0.0,0.003982574107188051,0.18822312843446762,0.0,0.0,0.0,0.03999784776974965,0.0,0.0,0.0,0.0,0.0,0.0275265034398116,0.000973780238814974,0.0,0.0,0.0,0.0,0.0,0.0009200546057246566,0.003970024804630279,0.0,0.0,0.001947560477629948,0.0018751446902413162,0.0009830894085647002,0.0,0.0,0.0,0.0,0.001947560477629948,0.0,0.0013867903605558536,0.0
78,010055466.pdf,0.4484068030911083,0.05675009077606673,0.012928038503337517,0.25484090752258737,0.03182714646916334,0.01636694402765858,0.17748330451697533,0.17341949040083998,0.0,0.03212639605652263,0.0,0.12378639336007735,0.0,0.0,0.0,0.0,0.012375547851247243,0.010707820660495776,0.0,0.0,0.0,0.0,0.008823294242185132,0.011737071373334716,0.0,0.04251162496654696,0.0,0.0,0.0,0.04694828549333886,0.0,0.0,0.0,0.012375547851247243,0.0,0.01092478961699251,0.0201836044070689,0.0,0.0,0.009897089051521722,0.0,0.0,0.008992043339188058,0.07275496403124987,0.0,0.009077845346533294,0.0,0.009164627969474462,0.03131381582428971,0.0,0.00952203025846749,0.008577000321240928,0.0,0.0,0.010191063706616097,0.0,0.008740305472361364,0.0,0.0,0.0,0.0,0.012375547851247243,0.009077845346533294,0.0,0.0,0.0
79,010018160.pdf,0.0014925914499331668,0.2428193352945769,0.0,0.000957030919344543,0.04991614267922481,0.005992789717661749,0.0006840618058656853,0.01462375827769022,0.10182893660620382,0.12782617576547806,0.15840940820352553,0.0009297361792610939,0.00042734401351629525,0.0017559759402134896,0.002206419658704399,0.0790556402244525,0.0003020887946992638,0.0007841380461049343,0.0,0.006342713870400944,0.008830489975264514,0.014160327438629765,0.10015067898775606,0.00028650349763001214,0.0007849748672511749,0.0,0.008118667426358507,0.004013221550115462,0.06309819386674052,0.0,0.009804885884074823,0.09328698937895877,0.048332471946164864,0.0,0.011044644083415246,0.004266809443795495,0.09040760756935524,0.0007318516004308781,0.0,0.013528999714467813,0.026333231587089133,0.0,0.0746289774590733,0.005835292212695177,0.006935004006589261,0.09173885248196206,0.040551231894200616,0.10223538164552555,0.0,0.06911091782956284,0.0018594723585221879,0.0626003551823691,0.08785668965915015,0.0011172882402746703,0.0024876524165552785,0.060494460694627154,0.00938748963651323,0.08478601672572031,0.0002956965804631305,0.0006242209401486247,0.009348844680164366,0.0012083551787970552,0.04675579196544443,0.002292027981040097,0.0,0.004632279682930675
80,010044990.pdf,0.0,0.10368509744490202,0.0,0.011395960349008128,0.0647576210324055,0.0,0.0,0.04582477736680777,0.06722995525183098,0.018676141163069645,0.03805859288179333,0.033212834882558245,0.0,0.0,0.0,0.0,0.0,0.012449623658527401,0.02540377236274093,0.0,0.0,0.010066614671452303,0.06155128829281533,0.0,0.0,0.0,0.0,0.0,0.029084489196941756,0.0,0.09774657505847736,0.031966215948490265,0.0,0.0,0.0,0.0,0.035200199028497074,0.034858442507084225,0.0,0.09205610584118426,0.023014026460296065,0.0,0.010454746959581238,0.012084250650560366,0.0,0.010554506073453523,0.021109012146907045,0.031966215948490265,0.0,0.021514942099884336,0.033212834882558245,0.009972190374131107,0.021514942099884336,0.03547798293581729,0.011848807693943333,0.010554506073453523,0.01016205979176611,0.042621621264653686,0.0,0.01486597128507887,0.02172146112410608,0.0,0.010554506073453523,0.0,0.0,0.01378985634767907
81,010063022.pdf,0.03569539237442633,0.1586273908646009,0.001561447126258997,0.04025032189488506,0.04708997255355116,0.047443146542668645,0.014667020646760523,0.012376938216670429,0.1307000004903137,0.04947283975281385,0.016802781067195145,0.03335202448557916,0.0,0.01846298677624574,0.0,0.0016716350394596735,0.10761965017910405,0.09570341926146406,0.04090434305165712,0.06518084633013077,0.04369273844881213,0.012548857928869008,0.030904619878428092,0.1531010421326304,0.0,0.0017115165258694204,0.06778802734880218,0.18940695914139993,0.013092514084411335,0.005670408967875199,0.011282323574431173,0.04206230636565848,0.036877683887295135,0.025410195181177347,0.013328839292613725,0.0,0.009751094442000634,0.0760443207184859,0.11605251226725692,0.023907387425924527,0.002390738742592453,0.0,0.008688464365292112,0.002510667679585266,0.02435186158011807,0.014253475639712326,0.0383747421069178,0.012175930790059035,0.0,0.029055144880899192,0.057503490492377865,0.020718583874988785,0.021232605874503256,0.0,0.012308755991181496,0.026314108873315062,0.031669595180091346,0.02545876437921435,0.014630890682820443,0.02162025623041143,0.03723166779562287,0.2481230823573788,0.018639160451931504,0.009923215693781599,0.03747473103021593,0.034380365955056814
82,010041857.pdf,0.10206245043272205,0.1098484440857801,0.0,0.10393596519108463,0.10781100655796588,0.11570347338996667,0.07153932050380786,0.04643792204938147,0.014599179748689387,0.014194523749209799,0.028925868347491668,0.07292399671544245,0.0,0.06356780138423992,0.0,0.0,0.08748694130518685,0.018924303168058296,0.07079511976828792,0.23549903624544882,0.00519790473630525,0.03570457795904823,0.062374856835663,0.01382888912173472,0.0,0.20035272150862538,0.012245940340178929,0.0,0.00982454849234725,0.02074333368260208,0.005503024654139067,0.0323939303086481,0.005450704081625657,0.007290578442098903,0.026004902537821045,0.0,0.011890394909603839,0.023549903624544885,0.0,0.017491469051518063,0.017491469051518063,0.04949826327391727,0.005297316782019994,0.09796752272143143,0.02699494192387342,0.0,0.03743504616179993,0.010797976769549368,0.03689466249615991,0.027253520408128288,0.0,0.04547529123751168,0.02180281632650263,0.0,0.012007347109732006,0.048130773636599906,0.015447045275107096,0.048590895462972156,0.0,0.11298660714686957,0.011006049308278134,0.04374347065259342,0.0,0.0,0.03046422831343438,0.0
83,010043979.pdf,0.0867113770987511,0.04598686759242119,0.012222124250574855,0.06949780945261755,0.04889507601665717,0.04255144850517453,0.05740256769370739,0.10433194845326987,0.04685705136112598,0.07593046776288413,0.015473254001881648,0.0,0.0,0.012751571430933403,0.06409044051290176,0.11121920933957118,0.0,0.0,0.0,0.009448125362864386,0.004170756395083773,0.024556339153300345,0.004170756395083773,0.0,0.0,0.0,0.0,0.0,0.01576627527129101,0.0,0.04415582130285184,0.0043321042756909135,0.01749440211734915,0.0,0.03651571322763878,0.015492389206119917,0.03339264587136963,0.0,0.0,0.014035012203375765,0.06549672361575358,0.0,0.046755761913422476,0.0,0.0,0.06865731640523166,0.030037575927288854,0.02166052137845457,0.0,0.02624160317602373,0.004501047738474728,0.02838033570114097,0.01749440211734915,0.0,0.0,0.03861974047794282,0.0371837496845487,0.017328417102763654,0.0,0.0,0.03974023917256666,0.0,0.021455411376634898,0.05548093959718964,0.0,0.0
84,010036927.pdf,0.0,0.04853339252612936,0.06548684974571732,0.00902723124754634,0.007328186006235286,0.0,0.012904879005148527,0.021779868452780606,0.0076079635017746025,0.003698544043844507,0.0,0.0,0.0,0.03726745004085705,0.04856165758757596,0.0,0.005698928533908824,0.004930941678830624,0.0,0.0,0.004063118976570769,0.0,0.012189356929712307,0.0,0.0,0.0,0.0,0.0,0.0345586157274242,0.0,0.004301626335049509,0.012660908542961955,0.008521456361074936,0.0,0.0,0.030185134116202265,0.0,0.013806437184915999,0.0,0.013672801529995131,0.027345603059990262,0.01934600026534023,0.0,0.004786227827013077,0.016881211390615943,0.004180339528690532,0.02508203717214319,0.008440605695307971,0.0,0.004260728180537468,0.008769772553585103,0.00789940169980254,0.008521456361074936,0.0,0.014078926714181098,0.012541018586071595,0.024149416341111517,0.0,0.011156677833470846,0.0,0.017206505340198037,0.011397857067817648,0.012541018586071595,0.07026383905215519,0.0,0.0
85,010082429.pdf,0.0,0.044105224487186866,0.0,0.0,0.032465380047045654,0.04452040617435247,0.012704729717007366,0.010721035890927684,0.03370485223205379,0.010923543507400229,0.011130101543588117,0.12950635561380752,0.19048419805405858,0.0,0.0,0.0,0.01683162159156238,0.02912678898649555,0.08915092584710849,0.0,0.012000305090372542,0.0,0.0,0.0,0.0,0.038545880596158544,0.0,0.0,0.01134087533962098,0.0,0.0,0.0,0.012583938193400075,0.0,0.0,0.0,0.0,0.0,0.0,0.013460742083949019,0.0,0.19045951874344724,0.012229815814165256,0.0,0.0,0.0,0.024693025242381452,0.0,0.0,0.0,0.0,0.02333065582761845,0.0,0.0,0.0,0.012346512621190726,0.03566230345688215,0.0,0.0,0.0,0.025409459434014733,0.03366324318312476,0.024693025242381452,0.0,0.03516609601851205,0.0
86,010082783.pdf,0.0882595672605097,0.006686848730935959,0.0053315761855304376,0.05254871855833454,0.006562822972896212,0.016874487375878128,0.05008068264232784,0.03901031466912706,0.013626760457204248,0.01324905770489901,0.006749794950351252,0.019634621969465565,0.0,0.04820862294641583,0.0,0.0,0.040829814168371115,0.013247847680301643,0.009010856231415232,0.04533642357481604,0.007277525580917422,0.0,0.007277525580917422,0.014521249346322901,0.0,0.02921994794767586,0.01714539773412406,0.03129347797917178,0.013755235349858097,0.024202082243871496,0.0,0.0037795302217487957,0.015262933970674533,0.020414907084185557,0.004551144957659896,0.0,0.004161900684590122,0.004121493052256004,0.0,0.008163200361685932,0.0,0.0,0.007416711222525512,0.0,0.0,0.0037437407115557724,0.0,0.011338590665246387,0.14205340907063785,0.007631466985337267,0.01178077318167934,0.0,0.0,0.0,0.004202836536214748,0.0037437407115557724,0.010813613642627921,0.007559060443497591,0.0,0.047457367854545615,0.0308188816260479,0.010207453542092779,0.01497496284622309,0.0,0.02665788092765219,0.024456685256527392
87,010067283.pdf,0.010350399017113274,0.054892730925798,0.1269249368937162,0.0016591365117652108,0.04848713662511275,0.05402422360659986,0.01264969976594547,0.010674598218222156,0.015381144725125435,0.004078585755858696,0.005540946010933319,0.029012716081103816,0.0,0.021309475128863716,0.12750376684242695,0.0,0.07122454384405777,0.0851893437006948,0.09246330491853616,0.01860846716119782,0.04779330528842348,0.004396791698050674,0.0,0.019867630357938704,0.0,0.004797365111422485,0.010556067689413598,0.12630424234968793,0.005645876430459488,0.0019867630357938704,0.009487274824459102,0.0,0.0,0.06912970431923253,0.0037360614187268893,0.0055477982951121696,0.0017082642632707107,0.06935883214628277,0.014565408653723726,0.011727132812651404,0.0,0.0,0.004566316099042226,0.003518689229804533,0.0434369373932397,0.003073258567741252,0.003073258567741252,0.006205276770462814,0.029153117839841546,0.01096325251459726,0.01611817560061323,0.014518500104674852,0.0,0.0,0.005175199508556637,0.003073258567741252,0.04438479229193122,0.004653957577847111,0.006151537842307184,0.008657339964884762,0.022136974590404573,0.01047419762412614,0.009219775703223757,0.009933815178969352,0.006565082942778424,0.004015327090958674
88,010029313.pdf,0.1266690141750991,0.060990702275226065,0.0,0.09938589805045535,0.22121975889203518,0.09636234936873139,0.09777349979591309,0.07992896626669584,0.04863505712395002,0.039405836793219996,0.048181174684365696,0.012458243815712096,0.0,0.12647192371400406,0.0,0.0,0.004047918046331225,0.02451694802254073,0.053600842857076926,0.009806637494018111,0.014430056923674703,0.09628851860103525,0.014430056923674703,0.10365512679077842,0.0,0.004635042584225403,0.030596685134033987,0.0,0.016364531616415663,0.02687355139020181,0.003055421868622284,0.008992974709028842,0.018158232786976255,0.10524586920461183,0.0,0.007146779047610257,0.0033009276640286475,0.022882154152708927,0.0,0.0,0.006474477875137355,0.05038498344948567,0.017647245169395916,0.0033996316815593317,0.008992974709028842,0.014846362537531074,0.026723452567555935,0.017985949418057683,0.0,0.03026372131162709,0.059176658124632464,0.014027255520748835,0.012105488524650836,0.0049904656181901045,0.016666975549355145,0.01187709003002486,0.02001206611141453,0.011990632945371789,0.05943395842371785,0.0,0.003055421868622284,0.06881460678763082,0.02375418006004972,0.09213789048069193,0.14377349541787957,0.05431251587798459
89,010039496.pdf,0.004162009365985484,0.015726992036752922,0.17423287923249312,0.00800588463111196,0.03005820076720959,0.12783582476518265,0.008583609663408119,0.05633740130858941,0.012650988243794301,0.010660287450817141,0.02590137625961217,0.0019443887438958083,0.0,0.009180829811894801,0.1276639633495106,0.04097966118103879,0.0,0.0,0.0011154153780293073,0.0010203640171063452,0.004504268927661074,0.01679598418133638,0.011711099211918794,0.0,0.0,0.0,0.0,0.0,0.05704050997608143,0.0,0.005722406442272079,0.0037428151312568487,0.003778666716572937,0.0,0.014647536318315495,0.006692492268175844,0.008242942346345115,0.0010203640171063452,0.0,0.005052438405139673,0.05456633477550847,0.0,0.08997213215656905,0.0,0.0028071113484426364,0.0027805299654866476,0.006487903252802177,0.006549926479699485,0.0,0.007557333433145874,0.0,0.026271219101905562,0.009446666791432343,0.0015577484785728995,0.006243014048978225,0.009268433218288826,0.011600948774881964,0.009357037828142123,0.0,0.0,0.007629875256362773,0.0,0.005561059930973295,0.02995872314667311,0.0,0.0012109554133445022
90,010064585.pdf,0.0,0.034280909314016964,0.0,0.0,0.0,0.006920722088738303,0.0,0.006666364148963519,0.07684509312251968,0.0,0.03460361044369151,0.09663281066234015,0.47377400533700276,0.007604526887272994,0.0,0.0,0.13605722045424795,0.0,0.009239040921673531,0.008451725782824035,0.0,0.007322208966781354,0.0,0.009925983613467028,0.27195645895327514,0.0,0.07910809166974996,0.0,0.0,0.0,0.0,0.007750480861451852,0.007824720976472372,0.0209318800698843,0.0,0.0,0.0,0.008451725782824035,0.0,0.0,0.0,0.0,0.0,0.00878978796330555,0.0,0.023031267670397534,0.01535417844693169,0.0,0.026481940243898716,0.015649441952944744,0.02415820266558504,0.014507054090981547,0.015649441952944744,0.0,0.0,0.0,0.0073916334097154,0.015500961722903705,0.0,0.11894457767160778,0.0,0.01046594003494215,0.0,0.0,0.0,0.0
91,010078506.pdf,0.0,0.051917968348040036,0.03311629914580573,0.0,0.08152801394875848,0.06288803375500547,0.0,0.0,0.031740229810960384,0.08229456788899393,0.020962677918335157,0.09756604683174983,0.0,0.0,0.0,0.017726622022094338,0.0,0.13714508666611427,0.13992401127515078,0.0,0.0,0.011089385345436265,0.02260163840788645,0.015032766439962299,0.0,0.01814953971559602,0.0,0.0,0.03203948087878228,0.0,0.011964183617469001,0.023475994546178287,0.0,0.0,0.0,0.027984802255030153,0.03877654842298041,0.0,0.0,0.06338064386532002,0.0,0.0,0.01151695197518655,0.0,0.0,0.0,0.0,0.011737997273089143,0.0,0.0,0.0,0.0,0.01185043291201819,0.0,0.013052649643452702,0.046507386564102124,0.0,0.0,0.0,0.0,0.0,0.015850523056120783,0.011626846641025531,0.0,0.0,0.01519090934624616
